영화ID,OTT 플랫폼,제공 방식,대여 가격,소장 가격
M92,웨이브,구독,,
M92,왓챠,대여,2750,
M92,왓챠,소장,,7150
M93,왓챠,구독,,
M93,넷플릭스,구독,,
M93,티빙,구독,,
M93,웨이브,구독,,
M93,왓챠,대여,2750,
M93,왓챠,소장,,7150
M94,왓챠,구독,,
M94,넷플릭스,구독,,
M94,티빙,구독,,
M94,웨이브,구독,,
M94,왓챠,대여,2750,
M94,왓챠,소장,,7150
M95,왓챠,구독,,
M95,넷플릭스,구독,,
M95,티빙,구독,,
M95,웨이브,구독,,
M95,쿠팡플레이,구독,,
M95,왓챠,대여,1320,
M95,왓챠,소장,,6050
M96,왓챠,구독,,
M96,티빙,구독,,
M96,웨이브,구독,,
M96,왓챠,대여,1540,
M96,쿠팡플레이,대여,1600,
M96,왓챠,소장,,7150
M97,왓챠,구독,,
M97,넷플릭스,구독,,
M97,티빙,구독,,
M97,웨이브,구독,,
M97,왓챠,대여,2750,
M97,왓챠,소장,,7150
M98,왓챠,구독,,
M98,넷플릭스,구독,,
M98,티빙,구독,,
M98,웨이브,구독,,
M98,왓챠,대여,1540,
M98,왓챠,소장,,7150
M99,왓챠,구독,,
M99,넷플릭스,구독,,
M99,티빙,구독,,
M99,웨이브,구독,,
M99,왓챠,대여,1540,
M99,웨이브,대여,1800,
M99,왓챠,소장,,3850
M100,왓챠,구독,,
M100,넷플릭스,구독,,
M100,티빙,구독,,
M100,웨이브,구독,,
M100,왓챠,대여,1540,
M100,왓챠,소장,,7150
M101,넷플릭스,구독,,
M102,왓챠,구독,,
M102,넷플릭스,구독,,
M102,티빙,구독,,
M102,웨이브,구독,,
M102,왓챠,대여,1540,
M102,왓챠,소장,,7150
M103,왓챠,구독,,
M103,넷플릭스,구독,,
M103,티빙,구독,,
M103,웨이브,구독,,
M103,왓챠,대여,2750,
M103,왓챠,소장,,7150
M104,왓챠,구독,,
M104,티빙,구독,,
M104,쿠팡플레이,구독,,
M104,넷플릭스,구독,,
M104,웨이브,구독,,
M104,왓챠,대여,1540,
M104,웨이브,대여,2500,
M104,왓챠,소장,,3850
M105,넷플릭스,구독,,
M105,티빙,구독,,
M105,웨이브,구독,,
M105,쿠팡플레이,구독,,
M105,왓챠,구독,,
M105,왓챠,대여,1320,
M105,왓챠,소장,,6050
M106,왓챠,구독,,
M106,티빙,구독,,
M106,웨이브,구독,,
M106,왓챠,대여,2750,
M106,쿠팡플레이,대여,2750,
M106,왓챠,소장,,7150
M106,쿠팡플레이,소장,,7150
M107,디즈니+,구독,,
M107,웨이브,대여,2500,
M107,웨이브,소장,,6500
M108,왓챠,구독,,
M108,티빙,구독,,
M108,웨이브,대여,1540,
M108,왓챠,대여,2750,
M108,왓챠,소장,,7150
M108,웨이브,소장,,6050
M109,왓챠,구독,,
M109,넷플릭스,구독,,
M109,티빙,구독,,
M109,웨이브,구독,,
M109,왓챠,대여,1540,
M109,웨이브,대여,1400,
M109,왓챠,소장,,3850
M109,웨이브,소장,,3500
M110,넷플릭스,구독,,
M110,쿠팡플레이,구독,,
M110,왓챠,대여,1650,
M110,웨이브,대여,1650,
M110,왓챠,소장,,6050
M110,웨이브,소장,,6050
M111,왓챠,구독,,
M111,티빙,구독,,
M111,웨이브,구독,,
M111,쿠팡플레이,대여,1600,
M111,왓챠,대여,1540,
M111,왓챠,소장,,7150
M112,왓챠,구독,,
M112,웨이브,구독,,
M112,왓챠,대여,1540,
M112,왓챠,소장,,5500
M113,넷플릭스,구독,,
M113,디즈니+,구독,,
M113,쿠팡플레이,구독,,
M114,넷플릭스,구독,,
M115,넷플릭스,구독,,
M116,넷플릭스,구독,,
M117,넷플릭스,구독,,
M118,넷플릭스,구독,,
M119,넷플릭스,구독,,
M120,넷플릭스,구독,,
M121,넷플릭스,구독,,
M122,넷플릭스,구독,,
M123,넷플릭스,구독,,
M124,웨이브,대여,"1,540",
M125,넷플릭스,구독,,
M126,왓챠,대여,"2,750",
M127,넷플릭스,구독,,
M128,왓챠,대여,"2,750",
M129,왓챠,대여,"2,750",
M130,웨이브,대여,"1,400",
M131,쿠팡플레이,대여,"2,500",
M132,왓챠,대여,"1,320",
M133,쿠팡플레이,구독,,
M134,쿠팡플레이,구독,,
M134,웨이브,대여,1320,
M134,웨이브,소장,,4950
M135,넷플릭스,구독,,
M135,웨이브,구독,,
M135,티빙,구독,,
M135,쿠팡플레이,구독,,
M135,왓챠,대여,1540,
M135,웨이브,대여,1400,
M135,왓챠,소장,,3850
M135,웨이브,소장,,3500
M136,넷플릭스,구독,,
M136,쿠팡플레이,구독,,
M137,웨이브,대여,1320,
M137,쿠팡플레이,대여,1320,
M137,웨이브,소장,,4950
M137,쿠팡플레이,소장,,4950
